id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_347;0;GmbH;58135;94999;1994;;GKV;8773.64;8773.64;8773.64;2750.0;;;;2750.0;2750.0;2530.58;28843.97;3085.05;0.0;0.0;;;;;;;;;;25758.92;28049.97;2240.5;2240.5;;;2808.24;0.0;-2154.64
C_932;0;GmbH & Co. KG;33334;27120;1943;114.0;GKV;713044.0;165931.09;119695.01;62908.24;652.3;734.9;82.6;63560.54;63560.54;38693.87;871492.19;127285.96;0.0;87096.0;;;;;;;;;;657110.23;870828.74;719313.42;719313.42;;;576835.76;-324.27;0.0
C_280;0;GmbH;32825;16290;1959;219.0;GKV;256102396.5;256102396.5;82120997.32;7585441.77;-5996196.42;159922.86;753119.28;1589245.35;1589245.35;2965889.76;155409810.1;82447578.11;33000000.0;1140332.08;;;;37411059.59;;;;;;38753860.18;62549930.9;79255753.24;526626.82;45936481.65;;57582302.61;-59126436.75;593000.0
C_039;0;GmbH & Co. KG;32369;43320;1978;;GKV;6152656.27;6152656.27;1736618.66;371715.35;-17354.9;226.17;17581.07;354360.45;354360.45;243802.64;1280660.31;400659.68;79420.74;427057.86;;;;214554.44;;;;;;373522.03;1092351.63;638174.2;117103.73;;;239792.2;-109234.24;-160000.0
C_714;0;GmbH;58708;35100;1897;124.0;GKV;213672.42;213672.42;157421.95;20836.84;-4973.57;1248.38;6221.95;15863.27;15863.27;15604.27;163320.96;33840.42;47480.54;82000.0;9000.0;47480.54;82000.0;10186.76;;;;;;3.64e-12;90503.44;22615.94;1081.27;;;10975.28;-2245.96;-1799.1
C_053;0;GmbH;58636;43310;2003;;GKV;15643555.79;15643555.79;11538855.78;1943756.0;-958890.44;180469.53;1139359.97;984865.56;984865.56;817708.34;33629547.52;8582847.68;7312974.85;11708000.0;1521000.0;7312974.85;11708000.0;826977.89;;;;;;6025724.99;16912166.54;10441301.82;10115244.3;;;2340653.27;-223315.9;-435561.39
C_937;0;GmbH;32427;70101;1976;;GKV;1012582.61;1023582.61;896916.65;31235.62;-12353.19;105.3;12458.49;18882.43;18882.43;17520.95;444947.05;357030.96;0.0;0.0;101845.83;;;177938.9;;;;;;87916.09;430645.4;247731.54;2911.33;180816.92;;-23357.49;34722.23;-19647.84
C_703;1;Freiberufler;32457;71113;0;;GKV;241456.04;216900.58;200011.33;67546.04;-35436.81;7786.89;43492.11;32109.23;32109.23;20807.15;1429971.76;915272.88;0.0;0.0;;;;;;;;;;514698.88;639035.0;639951.26;7466.24;24518.87;;14391.18;-7.09e-11;1204.28
C_154;0;GmbH;48624;28410;1975;299.0;GKV;1869790.49;1869790.49;1478265.19;99753.79;659.67;672.02;12.35;100413.46;103413.46;73528.81;920625.97;192967.94;0.0;0.0;;;;;;;;;;727658.03;813236.32;771570.01;492761.1;266564.75;1198.93;69245.22;-35363.29;-86872.02
C_825;0;GmbH;46325;86101;1981;1068.0;GKV;5911605.95;4304732.28;97303.91;-37139.99;-812.92;;812.92;-37952.91;-37952.91;-38239.91;2701528.63;2693393.09;8135.54;0.0;;;;100580.7;;;;;;-3.64e-12;2663846.5;87057.71;74448.67;;;-71688.69;-6177.1;312.9
